SA1_7DIGITCODE_2016	HomeCensusNight	persons
1100701	0	12
1100701	1	239
1100702	0	48
1100702	1	327
1100703	0	23
1100703	1	407
1100704	0	40
1100704	1	403
1100705	0	26
1100705	1	377
1100706	0	20
1100706	1	226
1100707	0	36
1100707	1	326
1100708	0	45
1100708	1	413
1100709	0	40
1100709	1	340
1100710	0	39
1100710	1	479
1100801	0	15
1100801	1	372
1100802	0	49
1100802	1	512
1100803	0	26
1100803	1	351
1100804	0	10
1100804	1	395
1100805	0	3
1100805	1	245
1100806	0	10
1100806	1	375
1100807	0	22
1100807	1	413
1100808	0	15
1100808	1	493
1100810	0	5
1100810	1	269
1100811	0	25
1100811	1	333
1100812	0	7
1100812	1	242
1100813	0	19
1100813	1	423
1100814	0	28
1100814	1	455
1100815	0	22
1100815	1	439
1100816	0	31
1100816	1	411
1100817	0	20
1100817	1	262
1100818	0	11
1100818	1	260
1100819	0	17
1100819	1	455
1100820	0	17
1100820	1	272
1100821	0	14
1100821	1	460
1100822	0	13
1100822	1	222
1100823	0	8
1100823	1	202
1100901	0	8
1100901	1	226
1100902	0	18
1100902	1	332
1100904	0	12
1100904	1	336
1100905	0	11
1100905	1	401
1100907	0	14
1100907	1	451
1100908	0	20
1100908	1	495
1100909	0	28
1100909	1	563
1100910	0	34
1100910	1	467
1100911	0	15
1100911	1	380
1100912	1	274
1100913	0	20
1100913	1	596
1100914	0	24
1100914	1	409
1100915	0	50
1100915	1	685
1100916	0	29
1100916	1	453
1100917	0	14
1100917	1	209
1100918	0	21
1100918	1	499
1100919	0	26
1100919	1	491
1100920	0	8
1100920	1	397
1100921	0	17
1100921	1	413
1100923	0	13
1100923	1	426
1100924	0	3
1100924	1	11
1100925	0	42
1100925	1	427
1100926	0	12
1100926	1	249
1100927	0	11
1100927	1	283
1100928	0	23
1100928	1	329
1100929	0	46
1100929	1	491
1101001	0	11
1101001	1	128
1101002	0	29
1101002	1	340
1101003	0	19
1101003	1	303
1101004	0	9
1101004	1	295
1101006	0	37
1101006	1	445
1101007	0	13
1101007	1	264
1101008	0	18
1101008	1	455
1101009	0	25
1101009	1	350
1101010	0	13
1101010	1	388
1101011	0	3
1101011	1	23
1101012	0	3
1101012	1	88
1101014	0	8
1101014	1	149
1101015	0	34
1101015	1	562
1101016	0	19
1101016	1	395
1101017	0	14
1101017	1	345
1101101	0	31
1101101	1	592
1101102	0	25
1101102	1	217
1101103	0	31
1101103	1	296
1101104	0	29
1101104	1	507
1101105	0	19
1101105	1	476
1101106	0	16
1101106	1	355
1101107	0	20
1101107	1	330
1101108	0	21
1101108	1	430
1101109	0	27
1101109	1	313
1101110	0	14
1101110	1	167
1101111	0	35
1101111	1	419
1101112	0	7
1101112	1	200
1101113	0	9
1101113	1	132
1101115	0	13
1101115	1	360
1101116	0	36
1101116	1	297
1101117	0	17
1101117	1	278
1101118	0	23
1101118	1	406
1101119	0	12
1101119	1	291
1101120	0	34
1101120	1	477
1101122	0	15
1101122	1	278
1101123	0	11
1101123	1	199
1101125	0	43
1101125	1	530
1101126	0	20
1101126	1	425
1101127	0	25
1101127	1	326
1101128	0	7
1101128	1	246
1101129	0	18
1101129	1	383
1101130	0	30
1101130	1	590
1101131	0	6
1101131	1	206
1101132	0	28
1101132	1	252
1101133	0	12
1101133	1	313
1101134	0	3
1101134	1	265
1101135	0	23
1101135	1	326
1101136	0	22
1101136	1	309
1101137	0	22
1101137	1	323
1101139	0	5
1101139	1	232
1101140	0	14
1101140	1	345
1101141	0	37
1101141	1	523
1101142	0	12
1101142	1	292
1101143	0	4
1101143	1	256
1101144	0	9
1101144	1	237
1101145	0	15
1101145	1	452
1101146	0	21
1101146	1	283
1101147	0	14
1101147	1	381
1101148	0	14
1101148	1	287
1101149	0	15
1101149	1	311
1101150	0	13
1101150	1	358
1101151	0	4
1101151	1	127
1101152	0	10
1101152	1	465
1101201	0	7
1101201	1	199
1101202	0	8
1101202	1	262
1101203	0	36
1101203	1	548
1101204	0	19
1101204	1	357
1101205	0	21
1101205	1	302
1101206	0	21
1101206	1	366
1101207	0	8
1101207	1	217
1101208	0	20
1101208	1	408
1101209	0	38
1101209	1	745
1101210	0	27
1101210	1	425
1101211	0	30
1101211	1	598
1101212	0	20
1101212	1	313
1101213	0	20
1101213	1	495
1101214	0	26
1101214	1	503
1101215	0	11
1101215	1	433
1101216	0	12
1101216	1	306
1101217	1	28
1101218	0	17
1101218	1	469
1101219	0	29
1101219	1	562
1101220	0	12
1101220	1	468
1101221	0	24
1101221	1	305
1101222	0	36
1101222	1	521
1101223	0	29
1101223	1	549
1101224	0	22
1101224	1	508
1101227	0	13
1101227	1	397
1101228	0	9
1101228	1	384
1101229	0	23
1101229	1	418
1101230	0	10
1101230	1	224
1101231	0	13
1101231	1	313
1101232	0	9
1101232	1	445
1101301	0	13
1101301	1	256
1101302	0	28
1101302	1	446
1101303	0	15
1101303	1	280
1101304	0	37
1101304	1	396
1101305	0	31
1101305	1	238
1101306	0	20
1101306	1	127
1101307	0	23
1101307	1	294
1101308	0	12
1101308	1	182
1101401	0	16
1101401	1	253
1101402	0	14
1101402	1	355
1101403	0	38
1101403	1	365
1101404	0	20
1101404	1	429
1101405	0	23
1101405	1	373
1101406	0	36
1101406	1	457
1101407	0	26
1101407	1	406
1101408	0	16
1101408	1	200
1101409	0	25
1101409	1	379
1101410	0	25
1101410	1	351
1101411	0	23
1101411	1	530
1101412	0	24
1101412	1	534
1101413	0	23
1101413	1	301
1101414	0	7
1101414	1	166
1101415	0	37
1101415	1	436
1101417	0	3
1101417	1	19
1101418	0	48
1101418	1	316
1101419	0	31
1101419	1	434
1101502	1	6
1101503	0	8
1101503	1	223
1101505	0	12
1101505	1	77
1101511	0	18
