SA1_7DIGITCODE_2016	medianMortgageRepayment
1100701	14220
1100702	21576
1100703	16200
1100704	19764
1100705	20796
1100706	15012
1100707	12996
1100708	20796
1100709	26004
1100710	18000
1100801	21600
1100802	23964
1100803	19200
1100804	20796
1100805	18984
1100806	24696
1100807	20604
1100808	20916
1100809	
1100810	23400
1100811	24000
1100812	26004
1100813	24552
1100814	24168
1100815	20796
1100816	23400
1100817	21600
1100818	19500
1100819	24048
1100820	24000
1100821	26004
1100822	18756
1100823	24000
1100901	19500
1100902	24000
1100904	26004
1100905	24180
1100907	23136
1100908	18072
1100909	15000
1100910	15900
1100911	24696
1100912	23400
1100913	25224
1100914	22500
1100915	20796
1100916	20796
1100917	11808
1100918	21648
1100919	21972
1100920	18204
1100921	18816
1100923	22356
1100924	
1100925	17748
1100926	20796
1100927	27948
1100928	20796
1100929	21204
1101001	25608
1101002	26004
1101003	26004
1101004	26004
1101006	15600
1101007	17784
1101008	19452
1101009	23400
1101010	20796
1101011	
1101012	21516
1101013	
1101014	30000
1101015	15600
1101016	28704
1101017	20796
1101101	29640
1101102	24960
1101103	31200
1101104	31200
1101105	31488
1101106	31200
1101107	26004
1101108	16320
1101109	31200
1101110	26400
1101111	30240
1101112	26004
1101113	30372
1101115	36000
1101116	23400
1101117	30000
1101118	18936
1101119	31800
1101120	30756
1101122	34320
1101123	34908
1101125	23400
1101126	26004
1101127	26400
1101128	26004
1101129	31200
1101130	33528
1101131	35556
1101132	33708
1101133	30000
1101134	27720
1101135	34908
1101136	30000
1101137	26004
1101139	28800
1101140	24348
1101141	30000
1101142	32400
1101143	28800
1101144	31512
1101145	29352
1101146	33288
1101147	31200
1101148	29124
1101149	33708
1101150	30000
1101151	26004
1101152	30684
1101201	23700
1101202	33804
1101203	30420
1101204	36000
1101205	30456
1101206	31200
1101207	28596
1101208	20796
1101209	30600
1101210	22776
1101211	28200
1101212	28104
1101213	26004
1101214	29400
1101215	28596
1101216	24000
1101217	
1101218	23604
1101219	23664
1101220	23400
1101221	26256
1101222	26964
1101223	25632
1101224	26004
1101225	
1101226	
1101227	36000
1101228	23484
1101229	23400
1101230	18144
1101231	33804
1101232	31200
1101301	9192
1101302	13104
1101303	10920
1101304	11508
1101305	12588
1101306	11292
1101307	10404
1101308	10740
1101401	11028
1101402	13524
1101403	16464
1101404	14052
1101405	14556
1101406	14856
1101407	18348
1101408	13524
1101409	15084
1101410	14400
1101411	15084
1101412	14196
1101413	12156
1101414	15264
1101415	12216
1101417	
1101418	21324
1101419	12996
1101501	
1101502	
1101503	8628
1101505	16800
1101511	9624
1101512	16644
1101514	23400
1101515	16464
1101516	29304
1101517	15360
1101518	20796
1101519	18720
1101520	24000
1101521	20988
1101522	20796
1101523	21996
1101524	19008
1101601	
1101602	14304
1101603	12000
1101604	14556
1101605	45600
1101606	19140
1101607	10404
1101608	23400
1101609	19956
1101610	22416
1101611	3300
1101612	
1101613	20196
1101614	17976
1101615	16896
1101616	15000
1101617	16848
1101618	22320
1101619	12996
1101620	22752
1101701	18852
1101702	18756
1101703	15000
1101704	16200
1101705	6504
1101706	16188
1101707	
1101708	17160
1101709	20796
1101710	20796
1101711	20796
1101712	20796
1101713	16800
1101714	
1101715	
1101716	15348
1101717	15600
1101718	15600
1101719	18096
1101720	17820
1101721	14688
1101722	15600
1101801	18204
1101802	15600
1101803	19608
1101804	16896
1101805	20796
1101806	16428
1101807	15600
1101808	17424
1101809	23700
1101810	20016
1101811	15600
1101812	15600
1101813	24000
1101814	20604
1101815	16800
1101816	15600
1101817	20148
1101818	20016
1101819	20796
1101820	15600
1101821	18336
1101822	19200
1101823	15600
1101824	
1101901	15600
1101902	14400
1101903	15084
1101904	14124
1101905	13704
1101906	19236
1101907	15468
1101909	13860
1101911	16800
1101912	16704
1101913	17688
1101914	18204
1101915	15996
1101916	16836
1101917	17976
1101918	15600
1101919	16644
1101920	15600
1101921	23268
1101922	18000
1101923	17676
1102001	19500
1102002	18204
1102003	16380
1102004	11400
1102005	12996
1102006	10404
1102007	18360
1102008	16980
1102009	
1102010	
1102011	16128
1102012	
1102013	12996
1102014	12996
1102015	10404
1102016	12564
1102017	12996
1102018	16800
1102019	12264
1102020	12996
1102021	
1102022	13416
1102023	18204
1102024	17208
1102025	12996
1102026	15600
1102027	15000
1102028	20796
1102029	15600
1102030	12480
1102031	24900
1102032	11208
1102101	18204
1102102	12996
1102104	19500
1102105	20280
1102106	17100
1102107	17400
1102108	20280
1102109	
1102201	
1102301	12996
1102302	16800
1102303	20796
1102304	19500
1102305	16116
1102306	15600
1102307	13548
1102308	15600
1102309	18756
1102310	
1102401	15864
1102402	15600
1102403	15600
1102404	15600
1102405	25740
1102406	18204
1102407	18984
1102408	15600
1102409	14616
1102410	12996
1102411	15600
1102412	15600
1102501	
1102502	20400
1102503	14304
1102504	11904
1102505	13776
1102506	25200
1102507	20280
1102508	15600
1102509	23808
1102510	17472
1102511	18000
1102512	15864
1102513	16488
1102514	17088
1102516	18204
1102517	18252
1102518	21204
1102519	14304
1102520	15600
1102521	14952
1102522	21060
1102523	17028
1102524	20400
1102525	18000
1102526	20340
1102527	18336
1102528	16488
1102529	14352
1102530	18204
1102531	
1102532	14400
1102601	16200
1102602	14412
1102603	18360
1102604	12936
1102605	14064
1102606	24072
1102607	17604
1102608	18204
1102609	16644
1102610	17244
1102611	15600
1102612	17016
1102613	16512
1102614	17448
1102615	15600
1102616	23148
1102617	19380
1102618	21204
1102619	17868
1102620	13524
1102621	16116
1102622	17148
1102623	13416
1102701	16896
1102702	16596
1102703	11964
1102704	14040
1102705	18204
1102706	15600
1102707	13788
1102708	15600
1102709	16644
1102710	15864
1102711	
1102712	17280
1102713	14400
1102714	
1102715	
1102716	
1102717	18204
1102718	15600
1102719	12000
1102720	14640
1102721	13404
1102722	
1102723	18204
1102724	17556
1102725	17760
1102726	11208
1102727	16896
1102728	18204
1102729	13128
1102801	
1102802	26400
1102803	26400
1102804	22104
1102805	26004
1102806	26400
1102807	28524
1102808	27600
1102809	26004
1102810	26004
1102811	23400
1102812	26400
1102813	24000
1102814	26916
1102815	27600
1102816	27804
1102817	28800
1102818	26004
1102901	24096
1102902	23400
1102903	21600
1102904	21720
1102905	25368
1102906	30000
1102907	26004
1102908	26004
1102909	28596
1102910	26004
1102911	24000
1102912	23400
1102913	31200
1102914	26004
1102915	26520
1102916	20472
1102917	24000
1102918	17184
1102919	24000
1102920	
1102921	
1102922	26004
1102923	24000
1102924	21900
1102925	23400
1102926	26004
1102927	20796
1102928	20556
1103002	26004
1103003	20796
1103004	34716
1103005	26208
1103006	21204
1103007	20796
1103008	28596
1103009	27516
1103010	20796
1103011	15912
1103012	23172
1103013	
1103014	31200
1103101	26004
1103102	28200
1103103	8508
1103104	21336
1103105	20280
1103106	19500
1103107	
1103108	26688
1103109	25008
1103110	20796
1103111	20400
1103112	36000
1103113	30000
1103114	34080
1103115	26208
1103116	30108
1103117	24324
1103118	42000
1103119	26256
1103120	25200
1103121	23400
1103122	18204
1103123	18168
1103124	23304
1103125	20796
1103126	12876
1103127	20796
1103128	20796
1103129	27036
1103130	30000
1103131	10236
1103132	
1103133	25200
1103134	26004
1103135	25896
1103136	21792
1103137	
1103138	22860
1103201	22104
1103202	19764
1103203	23100
1103204	19896
1103205	18108
1103206	
1103207	15600
1103208	16668
1103210	20796
1103211	19200
1103212	20796
1103213	24204
1103214	20796
1103215	19524
1103216	21660
1103217	18000
1103218	19764
1103219	19368
1103220	20796
1103221	19980
1103223	
1103224	14076
1103225	20928
1103226	17556
1103227	18000
1103228	23400
1103229	21840
1103230	18204
1103231	21888
1103232	20796
1103233	23400
1103234	24240
1103235	18720
1103236	11412
1103237	16128
1103238	31200
1103239	26004
1103240	20796
1103241	19764
1103242	16200
1103243	30624
1103244	20796
1103245	22884
1103246	24000
1103247	26592
1103248	15600
1103301	21600
1103302	20796
1103303	24744
1103304	20796
1103305	21216
1103306	21840
1103307	24000
1103308	23496
1103309	
1103310	24156
1103311	26004
1103312	24060
1103313	23400
1103314	24144
1103315	20904
1103316	
1103317	22104
1103318	20796
1103319	20796
1103320	
1103401	25656
1103402	21576
1103403	21240
1103404	21552
1103405	26004
1103406	21840
1103407	30600
1103408	26400
1103409	18984
1103410	19200
1103411	25200
1103412	22440
1103413	26004
1103414	20796
1103415	20400
1103416	21204
1103417	18000
1103418	5592
1103419	23148
1103501	21600
1103502	19632
1103503	20796
1103504	19764
1103505	18468
1103506	24000
1103507	18000
