SA1_7DIGITCODE_2016	medianTotalPersonalIncome
1100701	25116
1100702	34892
1100703	32968
1100704	26728
1100705	31304
1100706	28496
1100707	26156
1100708	33020
1100709	40196
1100710	28652
1100801	50856
1100802	46280
1100803	28756
1100804	31148
1100805	20020
1100806	42952
1100807	39156
1100808	37492
1100809	
1100810	48100
1100811	44720
1100812	66196
1100813	51792
1100814	50180
1100815	38948
1100816	26416
1100817	40144
1100818	35204
1100819	53144
1100820	41756
1100821	46800
1100822	49348
1100823	54860
1100901	50856
1100902	44772
1100904	44928
1100905	42068
1100907	45708
1100908	48152
1100909	39104
1100910	46592
1100911	43680
1100912	38116
1100913	44720
1100914	43004
1100915	39728
1100916	46904
1100917	36400
1100918	39676
1100919	45500
1100920	36868
1100921	46904
1100923	42016
1100924	35724
1100925	50284
1100926	41444
1100927	49920
1100928	44564
1100929	41444
1101001	39312
1101002	58344
1101003	47996
1101004	59228
1101006	39104
1101007	42900
1101008	37232
1101009	46020
1101010	47424
1101011	46800
1101012	57200
1101013	
1101014	57200
1101015	38636
1101016	55952
1101017	51168
1101101	58864
1101102	62660
1101103	60164
1101104	43992
1101105	54444
1101106	55796
1101107	48776
1101108	42432
1101109	56420
1101110	46176
1101111	54028
1101112	41184
1101113	46176
1101115	70304
1101116	37440
1101117	49348
1101118	41756
1101119	56056
1101120	56524
1101122	46540
1101123	56212
1101125	46904
1101126	48828
1101127	59072
1101128	58708
1101129	58136
1101130	61048
1101131	62452
1101132	62504
1101133	56836
1101134	57252
1101135	57564
1101136	54028
1101137	58656
1101139	65988
1101140	52572
1101141	51116
1101142	72488
1101143	66664
1101144	68484
1101145	53196
1101146	66456
1101147	71812
1101148	76024
1101149	71136
1101150	55640
1101151	55588
1101152	63544
1101201	58968
1101202	75296
1101203	67964
1101204	77116
1101205	72696
1101206	70148
1101207	49816
1101208	46384
1101209	58708
1101210	60476
1101211	70720
1101212	67496
1101213	63648
1101214	60476
1101215	63960
1101216	62296
1101217	31148
1101218	53664
1101219	48464
1101220	45032
1101221	61724
1101222	57096
1101223	54288
1101224	63960
1101225	
1101226	
1101227	83252
1101228	50492
1101229	40664
1101230	28236
1101231	56472
1101232	64480
1101301	24804
1101302	30732
1101303	30056
1101304	29536
1101305	36660
1101306	34060
1101307	29224
1101308	31824
1101401	26312
1101402	31824
1101403	30004
1101404	26312
1101405	28288
1101406	30212
1101407	34320
1101408	36452
1101409	37544
1101410	25428
1101411	34320
1101412	31564
1101413	25168
1101414	37284
1101415	35880
1101417	30628
1101418	37804
1101419	33020
1101501	
1101502	39624
1101503	22100
1101505	47580
1101511	25584
1101512	23400
1101514	35256
1101515	31356
1101516	37232
1101517	25844
1101518	36088
1101519	36972
1101520	38636
1101521	36452
1101522	39312
1101523	42276
1101524	29276
1101601	46280
1101602	30472
1101603	34684
1101604	38792
1101605	46800
1101606	41704
1101607	26676
1101608	43732
1101609	48412
1101610	39468
1101611	49868
1101612	42900
1101613	40040
1101614	37908
1101615	40716
1101616	38168
1101617	42848
1101618	44928
1101619	31148
1101620	38740
1101701	23868
1101702	29900
1101703	30056
1101704	24544
1101705	24648
1101706	21580
1101707	
1101708	29016
1101709	30160
1101710	32708
1101711	32812
1101712	25012
1101713	27040
1101714	
1101715	
1101716	27612
1101717	24804
1101718	25168
1101719	24076
1101720	28028
1101721	26052
1101722	25532
1101801	30368
1101802	32084
1101803	30992
1101804	33384
1101805	34788
1101806	26156
1101807	25272
1101808	24284
1101809	22204
1101810	26728
1101811	25480
1101812	25220
1101813	35100
1101814	34320
1101815	29900
1101816	28808
1101817	30472
1101818	28340
1101819	25584
1101820	22516
1101821	33332
1101822	28444
1101823	23868
1101824	
1101901	24544
1101902	25116
1101903	24076
1101904	28132
1101905	25012
1101906	32396
1101907	31200
1101909	26988
1101911	32812
1101912	35568
1101913	37440
1101914	34996
1101915	32448
1101916	33332
1101917	35620
1101918	32604
1101919	29900
1101920	30056
1101921	35048
1101922	28184
1101923	29796
1102001	30628
1102002	32864
1102003	29744
1102004	24960
1102005	22776
1102006	20436
1102007	30576
1102008	27716
1102009	9724
1102010	
1102011	29432
1102012	
1102013	22672
1102014	24908
1102015	22932
1102016	20956
1102017	31252
1102018	26624
1102019	25064
1102020	25688
1102021	
1102022	26156
1102023	36036
1102024	25116
1102025	26416
1102026	23400
1102027	26780
1102028	31876
1102029	28236
1102030	22360
1102031	30680
1102032	21944
1102101	34008
1102102	31824
1102104	26884
1102105	30160
1102106	28080
1102107	36348
1102108	33280
1102109	37648
1102201	27924
1102301	24440
1102302	33904
1102303	30420
1102304	28496
1102305	25220
1102306	24232
1102307	22984
1102308	22724
1102309	27300
1102310	19448
1102401	26156
1102402	23764
1102403	23972
1102404	29432
1102405	27820
1102406	28080
1102407	24544
1102408	23400
1102409	30056
1102410	28652
1102411	26936
1102412	34424
1102501	
1102502	28964
1102503	25220
1102504	28964
1102505	30004
1102506	35100
1102507	40664
1102508	25844
1102509	36972
1102510	30940
1102511	30940
1102512	27820
1102513	28444
1102514	24752
1102516	28340
1102517	36036
1102518	32760
1102519	25480
1102520	25532
1102521	32032
1102522	34372
1102523	30784
1102524	33956
1102525	24180
1102526	32344
1102527	30160
1102528	27872
1102529	26104
1102530	30836
1102531	
1102532	24960
1102601	24596
1102602	25480
1102603	29900
1102604	26104
1102605	23192
1102606	30524
1102607	26468
1102608	26572
1102609	24804
1102610	21944
1102611	25272
1102612	24024
1102613	25012
1102614	31564
1102615	26624
1102616	31304
1102617	31408
1102618	26988
1102619	31980
1102620	21996
1102621	24856
1102622	27352
1102623	25376
1102701	26832
1102702	24024
1102703	27768
1102704	26364
1102705	26936
1102706	24804
1102707	25376
1102708	25740
1102709	29016
1102710	29120
1102711	
1102712	26468
1102713	29120
1102714	
1102715	30836
1102716	
1102717	25844
1102718	25012
1102719	24700
1102720	26312
1102721	23816
1102722	15184
1102723	25324
1102724	25792
1102725	23764
1102726	30784
1102727	27872
1102728	22828
1102729	25376
1102801	
1102802	36712
1102803	42172
1102804	39520
1102805	39936
1102806	30576
1102807	48828
1102808	40092
1102809	39468
1102810	38896
1102811	35256
1102812	43056
1102813	36140
1102814	40976
1102815	45344
1102816	36712
1102817	46592
1102818	42796
1102901	45032
1102902	41028
1102903	28964
1102904	32448
1102905	34996
1102906	41964
1102907	32032
1102908	32188
1102909	38272
1102910	36036
1102911	38584
1102912	37544
1102913	36868
1102914	43420
1102915	36660
1102916	34320
1102917	32396
1102918	38844
1102919	24076
1102920	
1102921	
1102922	33072
1102923	37492
1102924	37804
1102925	32136
1102926	34632
1102927	35048
1102928	23972
1103002	36608
1103003	34060
1103004	38740
1103005	34008
1103006	39520
1103007	36400
1103008	32136
1103009	28236
1103010	38584
1103011	29328
1103012	43420
1103013	23348
1103014	32916
1103101	33904
1103102	31720
1103103	24544
1103104	24856
1103105	34164
1103106	29484
1103107	29900
1103108	37128
1103109	35100
1103110	27560
1103111	30732
1103112	45500
1103113	41028
1103114	43888
1103115	43836
1103116	33644
1103117	35412
1103118	48516
1103119	35308
1103120	36764
1103121	34528
1103122	35308
1103123	24648
1103124	37908
1103125	28028
1103126	23868
1103127	33280
1103128	24596
1103129	34788
1103130	35048
1103131	27352
1103132	
1103133	36608
1103134	33644
1103135	32656
1103136	34424
1103137	24440
1103138	35152
1103201	31512
1103202	27560
1103203	42224
1103204	34996
1103205	35568
1103206	36244
1103207	38948
1103208	44252
1103210	36192
1103211	32188
1103212	33176
1103213	42016
1103214	35672
1103215	32604
1103216	34216
1103217	36972
1103218	40092
1103219	49920
1103220	39052
1103221	39832
1103223	58500
1103224	38532
1103225	38376
1103226	39988
1103227	23088
1103228	28340
1103229	29952
1103230	27976
1103231	33592
1103232	25376
1103233	33436
1103234	36556
1103235	27924
1103236	27820
1103237	34372
1103238	55900
1103239	35620
1103240	25168
1103241	35880
1103242	30056
1103243	40560
1103244	24596
1103245	30992
1103246	37700
1103247	38896
1103248	34424
1103301	35724
1103302	36140
1103303	40768
1103304	37700
1103305	36088
1103306	37700
1103307	31044
1103308	34632
1103309	
1103310	39728
1103311	32188
1103312	40352
1103313	39520
1103314	38740
1103315	40924
1103316	
1103317	32708
1103318	37336
1103319	35724
1103320	72748
1103401	31824
1103402	31200
1103403	27872
1103404	34684
1103405	31356
1103406	36504
1103407	39624
1103408	42588
1103409	38532
1103410	33904
1103411	39416
1103412	35464
1103413	35828
1103414	26936
1103415	23296
1103416	29536
1103417	27040
1103418	22776
1103419	34944
1103501	34632
1103502	29900
1103503	37440
1103504	37284
1103505	33228
1103506	38532
1103507	30368
1103508	38688
1103509	37388
1103510	35880
1103511	35620
1103512	32448
1103513	34476
1103514	30680
1103515	27560
1103516	27248
1103517	42900
1103601	43160
1103602	48256
1103603	37700
1103604	33280
1103605	37388
1103606	36764
1103607	37440
1103608	25844
1103609	39104
1103610	30420
1103611	36244
1103612	26312
1103613	31512
1103614	33644
1103615	38116
1103616	36452
1103617	37232
1103618	42016
1103619	33956
1103620	31720
1103621	38376
1103622	32916
1103701	28392
1103702	34476
1103703	31824
1103704	32344
1103705	38272
1103706	32500
1103707	35568
1103708	34528
1103709	36296
1103710	36400
1103711	30108
1103712	43576
1103713	28392
1103714	36920
1103801	36400
1103802	35776
1103803	31980
1103804	34060
1103805	42640
1103806	33488
1103807	32552
1103808	24544
1103809	37076
1103810	38012
1103811	34684
1103812	37856
1103813	35776
1103814	33072
1103815	36504
1103816	40872
1103817	32032
1103901	46800
1103902	37700
1103903	37492
1103904	33644
1103905	32968
1103906	37544
1103908	43940
1103909	41236
1103911	41704
